bank_id,category_id,offer_title,merchant_details,offer_details_1,offer_validity,discount,image_url,more_details_url
7,4,Dankotuwa Porcelain,Dankotuwa Porcelain,"Offer: 12 & 24 Months 0% Easy Payment Plans at Dankotuwa Porcelain with DFCC Credit Cards.
Offer Period: 01st to 31st January 2025
Locations: All Dankotuwa Porcelain showrooms
Eligible Card Categories: All DFCC Credit Cards (Excluding Corporate Credit Cards)
Easy Payment Plan Setup Fee and Transaction Limits:",Valid from 1 January 2025 - 31 January 2025.,12 & 24 Months 0% Easy Payment Plans at Dankotuwa Porcelain with DFCC Credit Cards.,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2024/03/25105036/dANKOTUWA-Web-Banners_400-X-225.jpg,https://www.dfcc.lk/promotions/dankotuwa/
7,4,Dinapala Group,Dinapala Group,"Offer: 12 & 24 Months 0% Easy Payment Plans at Dinapala showrooms with DFCC Credit Cards.
Offer Period: 01st to 31st January 2025
Locations: All Dinapala showrooms
Eligible Card Categories: All DFCC Credit Cards (Excluding Corporate Credit Cards)
Easy Payment Plan Setup Fee and Transaction Limits:",Valid from 1 January 2025 - 31 January 2025.,12 & 24 Months 0% Easy Payment Plans at Dinapala showrooms with DFCC Credit Cards.,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2021/09/03090435/Dinapalapala-Group-Online-Hall-Thumb.jpg,https://www.dfcc.lk/promotions/dinapala-group-epp/
7,4,Fits Retail,Fits Retail,"Offer: 12 & 24 Months 0% Easy Payment Plans at Fits Retail with DFCC Credit Cards.
Offer Period: 01st to 31st January 2025
Location: No. 9, Abdul Caffor Mawatha, Colombo 03.
Eligible Card Categories: All DFCC Credit Cards (Excluding Corporate Credit Cards)
Easy Payment Plan Setup Fee and Transaction Limits:",Valid from 1 January 2025 - 31 January 2025.,12 & 24 Months 0% Easy Payment Plans at Fits Retail with DFCC Credit Cards.,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2024/04/01051508/Fits-Retail-Web-Banners_400-X-225.jpg,https://www.dfcc.lk/promotions/27133/
7,4,Hunters & Company,Hunters & Company,"Offer: 12 & 24 Months 0% Easy Payment Plans at Hunter & Co. with DFCC Credit Cards.
Offer Period: 01st to 31st January 2025
Locations: All Hunters & Company showrooms
Eligible Card Categories: All DFCC Credit Cards (Excluding Corporate Credit Cards)
Easy Payment Plan Setup Fee and Transaction Limits:",Valid from 1 January 2025 - 31 January 2025.,12 & 24 Months 0% Easy Payment Plans at Hunter & Co. with DFCC Credit Cards,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2019/09/05085844/400-x-225-Hunters.jpg,https://www.dfcc.lk/promotions/hunters/
7,4,Herman Miller Chairs at JAT Holdings,Herman Miller Chairs at JAT Holdings,"Promotion Discount: 12 Months 0% Easy Payment Plan for Herman Miller Chairs at JAT Holdings
Minimum Transaction Value for Easy Payment Plan conversion: LKR 25,000
Maximum Transaction Value for Easy Payment Plan conversion: LKR 1,000,000
Locations: One Galle Face Mall & Thalawathugoda",Valid from 4 August 2021,12 Months 0% Easy Payment Plan,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2021/08/05093658/400-X-225_Jat-Holdings.jpg,https://www.dfcc.lk/promotions/herman-miller-chairs-at-jat-holdings/
7,4,Häfele,Häfele,"Offer: 12 & 24 Months 0% Easy Payment Plans at Häfele with DFCC Credit Cards.
Offer Period: 01st to 31st January 2025
Locations: All Häfele showrooms
Eligible Card Categories: All DFCC Credit Cards (Excluding Corporate Credit Cards)
Easy Payment Plan Setup Fee and Transaction Limits:",Valid from 1 January 2025 - 31 January 2025.,12 & 24 Months 0% Easy Payment Plans at Häfele with DFCC Credit Cards.,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2024/11/04101651/Hafele-Web-Banners_400-X-225.jpg,https://www.dfcc.lk/promotions/hafele/
7,4,Lanka Tiles,Lanka Tiles,"Offer: 12 & 24 Months 0% Easy Payment Plans at Lankatiles showrooms with DFCC Credit Cards
Offer Period: 01st to 31st January 2025
Locations: All Lankatiles showrooms
Eligible Card Categories: All DFCC Credit Cards (Excluding Corporate Credit Cards)
Easy Payment Plan Setup Fee and Transaction Limits:",Valid from 1 January 2025 - 31 January 2025.,12 & 24 Months 0% Easy Payment Plans at Lankatiles showrooms with DFCC Credit Cards,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2019/12/25105134/Lanka-Tiles-Web-Banners_400-X-225-2.jpg,https://www.dfcc.lk/promotions/lanka-tiles/
7,4,Nisaco,Nisaco,"Offer: 12 & 24 Months 0% Easy Payment Plans at Nisaco showrooms with DFCC Credit Cards.
Offer Period: 01st to 31st January 2025
Locations: All Nisaco showrooms
Eligible Card Categories: All DFCC Credit Cards (Excluding Corporate Credit Cards)
Easy Payment Plan Setup Fee and Transaction Limits:",Valid from 1 January 2025 - 31 January 2025.,12 & 24 Months 0% Easy Payment Plans at Nisaco showrooms with DFCC Credit Cards.,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2022/02/21105813/N-Web-Banners_400-x-225.jpg,https://www.dfcc.lk/promotions/nisaco-2-2/
7,4,Singer,Singer,"Offer: 12 & 24 Months 0% Easy Payment Plans at Singer with DFCC Credit Cards.
Offer Period: 01st to 31st January 2025
Locations: All Singer Showrooms
Eligible Card Categories: All DFCC Credit Cards (Excluding Corporate Credit Cards)
Easy Payment Plan Setup Fee and Transaction Limits:",Valid from 1 January 2025 - 31 January 2025.,12 & 24 Months 0% Easy Payment Plans at Singer with DFCC Credit Cards.,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2019/09/04063241/Singer-Web-Banners_400-X-225.jpg,https://www.dfcc.lk/promotions/singer-4/
7,4,Singer Mega,Singer Mega,"Offer: 12 & 24 Months 0% Easy Payment Plans at Singer Mega with DFCC Credit Cards.
Offer Period: 01st to 31st January 2025
Locations: All Singer Mega Showrooms
Eligible Card Categories: All DFCC Credit Cards (Excluding Corporate Credit Cards)
Easy Payment Plan Setup Fee and Transaction Limits:",Valid from 1 January 2025 - 31 January 2025.,12 & 24 Months 0% Easy Payment Plans at Singer Mega with DFCC Credit Cards.,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2023/08/12095706/Singer-Mega-Web-Banners_400-X-225.jpg,https://www.dfcc.lk/promotions/singer-mega/
7,4,www.singersl.com,www.singersl.com,"Offer: 12 & 24 Months 0% Easy Payment Plans www.singersl.com with DFCC Credit Cards.
Offer Period: 01st to 31st January 2025
Website: www.singersl.com
Eligible Card Categories: All DFCC Credit Cards (Excluding Corporate Credit Cards)
Easy Payment Plan Setup Fee and Transaction Limits:",Valid from 1 January 2025 - 31 January 2025.,12 & 24 Months 0% Easy Payment Plans www.singersl.com with DFCC Credit Cards,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2021/09/06041251/400-X-225_Singer.lk_.jpg,https://www.dfcc.lk/promotions/www-singersl-com/
7,4,Seetha Holdings,Seetha Holdings,"Offer: 12 & 24 Months 0% Easy Payment Plans at Seetha Holdings with DFCC Credit Cards.
Offer Period: 01st to 31st January 2025
Locations: All Seetha Holdings showrooms
Eligible Card Categories: All DFCC Credit Cards (Excluding Corporate Credit Cards)
Easy Payment Plan Setup Fee and Transaction Limits:",Valid from 1 January 2025 - 31 January 2025.,12 & 24 Months 0% Easy Payment Plans at Seetha Holdings with DFCC Credit Cards.,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2020/06/29110256/400-x-225-Seetha.jpg,https://www.dfcc.lk/promotions/seetha-holdings-epp/
7,4,Softlogic,Softlogic,"Offer: 12 & 24 Months 0% Easy Payment Plans at Softlogic showrooms with DFCC Credit Cards.
Offer Period: 01st to 31st January 2025
Locations: All Softlogic showrooms
Eligible Card Categories: All DFCC Credit Cards (Excluding Corporate Credit Cards)
Easy Payment Plan Setup Fee and Transaction Limits:",Valid from 1 January 2025 - 31 January 2025.,12 & 24 Months 0% Easy Payment Plans at Softlogic showrooms with DFCC Credit Cards,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2023/05/26025700/Softlogic-Web-Banners_400-X-225.jpg,https://www.dfcc.lk/promotions/softlogic-epp/
7,4,Softlogic Max,Softlogic Max,"Offer: 12 & 24 Months 0% Easy Payment Plans at Softlogic MAX with DFCC Credit Cards.
Offer Period: 01st to 31st January 2025
Locations: All Softlogic MAX Showrooms
Eligible Card Categories: All DFCC Credit Cards (Excluding Corporate Credit Cards)
Easy Payment Plan Setup Fee and Transaction Limits:",Valid from 1 January 2025 - 31 January 2025.,12 & 24 Months 0% Easy Payment Plans at Softlogic MAX with DFCC Credit Cards.,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2019/06/26115116/400-x-225-Softlogic-Max.jpg,https://www.dfcc.lk/promotions/softlogic-max-epp/
7,4,Softlogic Furniture,Softlogic Furniture,"Offer: 12 & 24 Months 0% Easy Payment Plans at Softlogic Furniture with DFCC Credit Cards.
Offer Period: 01st to 31st January 2025
Locations: Softlogic Furniture Showrooms
Eligible Card Categories: All DFCC Credit Cards (Excluding Corporate Credit Cards)
Easy Payment Plan Setup Fee and Transaction Limits:",Valid from 1 January 2025 - 31 January 2025.,12 & 24 Months 0% Easy Payment Plans at Softlogic Furniture with DFCC Credit Cards.,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2019/09/02072719/400-x-225-Softlogic-Furniture.jpg,https://www.dfcc.lk/promotions/softlogic-furniture-epp/
7,4,www.mysoftlogic.lk,www.mysoftlogic.lk,"Offer: 12 & 24 Months 0% Easy Payment Plans www.softlogic.lk with DFCC Credit Cards.
Offer Period: 01st to 31st January 2025
Website: www.softlogic.lk
Eligible Card Categories: All DFCC Credit Cards (Excluding Corporate Credit Cards)
Easy Payment Plan Setup Fee and Transaction Limits:",Valid from 1 January 2025 - 31 January 2025.,12 & 24 Months 0% Easy Payment Plans www.softlogic.lk with DFCC Credit Cards.,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2019/06/26115923/400-x-225-Softlogic.lk_.jpg,https://www.dfcc.lk/promotions/www-mysoftlogic-lk-epp/
7,4,Warnapala & Brothers,Warnapala & Brothers,"Offer: Up to 20% Savings on selected products with 12 & 24 Months 0% Easy Payment Plans at Warnapala & Brothers with DFCC Credit Cards.
Location: No. 147, Colombo Road, Kaluwella, Galle
Offer Period: 20th November 2024 to 31st January 2025
Easy Payment Plan Setup Fee and Transaction Limits:",Valid from 15 November 2024 - 31 January 2025.,Up to 20% Savings on selected products with 12 & 24 Months 0% Easy Payment Plans at Warnapala & Brothers with DFCC Credit Cards,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2024/09/22084809/Warnapala-Brothers-New-Web-Banners_400-X-225.jpg,https://www.dfcc.lk/promotions/homelux/
